,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней,fact
0,2026-04-27,2.0,,,,,,,,,,
1,2026-04-28,2.0,2.0,,,,,,,,,
2,2026-04-29,2.0,0.0,2.0,,,,,,,,
3,2026-04-30,2.0,2.0,2.0,2.0,,,,,,,0
4,2026-05-01,2.0,2.0,2.0,0.0,2.0,,,,,,0
5,2026-05-02,0.0,0.0,2.0,0.0,0.0,2.0,,,,,0
6,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0
7,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0
8,2026-05-05,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0
9,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
10,2026-05-07,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0
11,2026-05-08,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,
12,2026-05-09,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,
13,2026-05-10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
14,2026-05-11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2
15,2026-05-12,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0
16,2026-05-13,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,
17,2026-05-14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,
18,2026-05-15,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,
19,2026-05-16,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0
20,2026-05-17,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2026-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
22,2026-05-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0
23,2026-05-20,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
24,2026-05-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0
25,2026-05-22,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0
26,2026-05-23,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2
27,2026-05-24,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0
28,2026-05-25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2
29,2026-05-26,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1
30,2026-05-27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
31,2026-05-28,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2
32,2026-05-29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
33,2026-05-30,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
34,2026-05-31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
35,2026-06-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2
36,2026-06-02,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0
37,2026-06-03,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
38,2026-06-04,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
39,2026-06-05,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0
40,2026-06-06,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0
41,2026-06-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0
42,2026-06-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0
43,2026-06-09,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0
44,2026-06-10,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0
45,2026-06-11,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1
46,2026-06-12,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0
47,2026-06-13,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0
48,2026-06-14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0
49,2026-06-15,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2
50,2026-06-16,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0
51,2026-06-17,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2
52,2026-06-18,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
53,2026-06-19,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0
54,2026-06-20,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0
55,2026-06-21,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0
56,2026-06-22,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0
57,2026-06-23,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0
