,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2026-04-27,-1.0,,,,,,,,,
2026-04-28,-1.0,-1.0,,,,,,,,
2026-04-29,1.0,0.0,0.0,,,,,,,
2026-04-30,1.0,1.0,1.0,1.0,,,,,,
2026-05-01,0.0,1.0,1.0,0.0,1.0,,,,,
2026-05-02,1.0,1.0,0.0,0.0,0.0,0.0,,,,
2026-05-03,2.0,2.0,2.0,2.0,1.0,3.0,1.0,,,
2026-05-04,3.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,,
2026-05-05,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,
2026-05-06,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0
2026-05-07,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0
2026-05-08,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0
2026-05-09,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
2026-05-10,1.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0
2026-05-11,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0
2026-05-12,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,6.0,2.0
2026-05-13,3.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,6.0
2026-05-14,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0
2026-05-15,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0
2026-05-16,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0
2026-05-17,4.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0
2026-05-18,3.0,3.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,6.0
2026-05-19,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,2.0,4.0
2026-05-20,5.0,5.0,6.0,6.0,6.0,7.0,4.0,5.0,4.0,5.0
2026-05-21,5.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,5.0
2026-05-22,6.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,3.0,4.0
2026-05-23,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,3.0
2026-05-24,6.0,6.0,6.0,7.0,6.0,6.0,4.0,6.0,7.0,5.0
2026-05-25,6.0,7.0,7.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0
2026-05-26,8.0,8.0,6.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0
2026-05-27,4.0,5.0,5.0,4.0,2.0,6.0,6.0,4.0,5.0,5.0
2026-05-28,4.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,7.0,6.0
2026-05-29,5.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,4.0,8.0
2026-05-30,8.0,8.0,8.0,10.0,9.0,10.0,7.0,6.0,4.0,6.0
2026-05-31,5.0,5.0,6.0,6.0,7.0,5.0,11.0,7.0,8.0,2.0
2026-06-01,6.0,5.0,4.0,5.0,6.0,9.0,6.0,9.0,8.0,6.0
2026-06-02,6.0,6.0,6.0,7.0,8.0,7.0,11.0,9.0,8.0,9.0
2026-06-03,9.0,9.0,8.0,8.0,7.0,9.0,8.0,11.0,8.0,10.0
2026-06-04,8.0,8.0,7.0,9.0,7.0,5.0,7.0,6.0,10.0,9.0
2026-06-05,8.0,7.0,8.0,7.0,9.0,7.0,6.0,8.0,6.0,9.0
2026-06-06,7.0,7.0,7.0,7.0,7.0,9.0,7.0,10.0,10.0,7.0
2026-06-07,8.0,7.0,8.0,8.0,8.0,7.0,9.0,6.0,13.0,12.0
2026-06-08,7.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,6.0,12.0
2026-06-09,6.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0
2026-06-10,4.0,5.0,6.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0
2026-06-11,5.0,4.0,7.0,8.0,9.0,6.0,8.0,9.0,11.0,10.0
2026-06-12,7.0,6.0,8.0,8.0,8.0,10.0,5.0,9.0,8.0,13.0
2026-06-13,6.0,6.0,8.0,9.0,8.0,9.0,9.0,4.0,7.0,7.0
2026-06-14,6.0,6.0,6.0,8.0,9.0,10.0,10.0,9.0,6.0,8.0
2026-06-15,8.0,8.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0,7.0
2026-06-16,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,9.0
2026-06-17,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,6.0,7.0
2026-06-18,9.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,6.0
2026-06-19,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,6.0,10.0
2026-06-20,10.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,7.0,7.0
2026-06-21,16.0,16.0,15.0,12.0,10.0,12.0,10.0,8.0,10.0,11.0
2026-06-22,12.0,12.0,12.0,12.0,11.0,11.0,10.0,12.0,9.0,11.0
2026-06-23,10.0,10.0,10.0,10.0,11.0,9.0,12.0,13.0,12.0,8.0
2026-06-24,8.0,8.0,8.0,8.0,10.0,10.0,8.0,12.0,13.0,9.0
2026-06-25,12.0,10.0,9.0,10.0,9.0,10.0,12.0,7.0,11.0,12.0
2026-06-26,12.0,12.0,11.0,9.0,11.0,11.0,9.0,13.0,8.0,12.0
2026-06-27,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,7.0
2026-06-28,14.0,13.0,12.0,11.0,10.0,10.0,12.0,12.0,11.0,12.0
2026-06-29,14.0,15.0,15.0,12.0,12.0,13.0,9.0,12.0,11.0,12.0
